ID;City;Weekdays_WE;Price;room_type;room_shared;room_private;person_capacity;host_is_superhost;multi_room;Buisness_noBuisness;cleanliness_rating;guest_satisfaction_overall;bedrooms;Center_dist;metro_dist;lng;lat
22832;Berlin;Weekdays;139,2913901;Private room;False;True;2;False;0;0;7;80;1;4,654970846;0,331238292;13,3551;52,54203
22833;Berlin;Weekdays;198,1864074;Private room;False;True;3;False;1;0;9;100;0;0,818372471;0,292622388;13,40462;52,52238
22834;Berlin;Weekdays;428,8585585;Private room;False;True;2;False;1;0;10;100;1;1,705046428;0,450869501;13,40976;52,53818
22835;Berlin;Weekdays;370,8983827;Entire home/apt;False;False;3;False;0;1;10;100;1;1,849568545;0,277699977;13,41061;52,53965
22836;Berlin;Weekdays;81,33121436;Private room;False;True;2;False;0;1;9;92;1;6,877405441;1,229190766;13,46119;52,46793
22837;Berlin;Weekdays;226,2316537;Entire home/apt;False;False;2;False;0;1;9;92;1;0,536811022;0,211066016;13,409;52,522
22838;Berlin;Weekdays;449,8924932;Entire home/apt;False;False;4;False;1;0;10;100;2;2,941344313;0,186256835;13,37658;52,53365
22839;Berlin;Weekdays;579,8354679;Entire home/apt;False;False;6;False;0;0;10;100;2;4,793834076;0,371853788;13,34793;52,53367
22840;Berlin;Weekdays;324,6237263;Entire home/apt;False;False;3;False;0;0;10;100;0;0,756131365;0,110486203;13,40866;52,52822
22841;Berlin;Weekdays;115,9203515;Private room;False;True;2;False;0;0;10;93;1;6,668632257;0,748584855;13,34983;52,56745
22842;Berlin;Weekdays;122,9316631;Private room;False;True;2;False;0;0;10;100;1;5,96055731;0,859470343;13,32894;52,52726
22843;Berlin;Weekdays;109,1427503;Private room;False;True;2;False;0;0;10;100;3;4,786832195;1,395732637;13,39116;52,56357
22844;Berlin;Weekdays;344,4891091;Entire home/apt;False;False;4;False;1;0;10;100;3;6,032266163;0,641659045;13,36964;52,56949
22845;Berlin;Weekdays;122,9316631;Private room;False;True;3;False;0;0;10;100;1;4,13766387;0,987955986;13,39307;52,55775
